text,label
"""1. ""El presidente anuncia nuevas medidas para combatir la inflación.""",0
"""2. ""¡Oferta del día! Sandwich de jamón y queso a solo $2.""",0
"""3. ""La película de ciencia ficción 'Eclipso' se estrena hoy en todos los cines.""",0
"""4. ""Un cliente llamó hoy para reportar un problema con su orden.""",0
"""5. ""El número de pedido 12345 está listo para ser recogido.""",0
"""6. ""La empresa lanza su nuevo smartphone, el modelo X1.""",0
"""7. ""El museo de arte abre sus puertas al público este fin de semana.""",0
"""8. ""La receta del día: ensalada caprese, ¡sencilla y deliciosa!""",0
"""9. ""El equipo de fútbol local ganó el partido de ayer 3-1.""",0
"""10. ""El nuevo juego de video 'Nebula Wars' ha sido muy bien recibido por los jugadores.""",0
"""11. ""La biblioteca municipal organiza un taller de lectura para niños este sábado.""",0
"""12. ""La aplicación de entrega de comida 'FoodFast' ha mejorado su servicio en la ciudad.""",0
"""13. ""El concierto de esta noche ha sido cancelado debido a mal tiempo.""",0
"""14. ""La empresa de tecnología 'Innovatech' presenta su última invención en la feria.""",0
"""15. ""El parque nacional ha reabierto después de las obras de mantenimiento.""",0
"""16. ""El restaurante 'La Luna' ofrece una cena especial de San Valentín.""",0
"""17. ""La marca 'CleanHome' ha lanzado un nuevo producto de limpieza.""",0
"""18. ""El centro comercial ofrece descuentos en todas las tiendas durante esta semana.""",0
"""19. ""El servicio de transporte público se retrasará esta tarde debido a obras en las carreteras.""",0
"""20. ""La película de comedia 'Risas sin fin' se estrenará la próxima semana.""",0
"""21. ""La tienda de electrónica 'TechWorld' ha abierto una nueva sucursal en el centro de la ciudad.""",0
"""22. ""El festival de música 'SoundWave' tendrá lugar este fin de semana en el parque.""",0
"""23. ""La empresa de viajes 'GoPlaces' ofrece paquetes especiales para las vacaciones de primavera.""",0
"""24. ""El equipo de investigación ha descubierto una nueva especie de plantas en la selva tropical.""",0
"""25. ""La tienda de ropa 'FashionFusion' tiene una venta de liquidación este fin de semana.""",0
"""26. ""El servicio de streaming 'MusicFlow' ha agregado nuevas canciones a su biblioteca.""",0
"""27. ""El evento de caridad 'Ayuda a los Niños' tendrá lugar el próximo mes en el centro comunitario.""",0
"""28. ""La empresa de software 'CodeEase' lanza una nueva actualización de su popular programa.""",0
"""29. ""El museo de historia local abre una nueva exposición esta semana.""",0
"""30. ""El gimnasio 'FitLife' ofrece una semana gratuita de membresía para nuevos miembros.""",0
"""31. ""La marca de cosméticos 'BeautyBliss' lanza una nueva línea de productos orgánicos.""",0
"""32. ""El servicio de entrega de flores 'BouquetExpress' ofrece envíos mismo día en toda la ciudad.""",0
"""33. ""El teatro presenta una obra de teatro clásica este fin de semana.""",0
"""34. ""La empresa de construcción 'BuildPro' ha comenzado la construcción de un nuevo edificio en el centro de la ciudad.""",0
"""35. ""El evento de juegos de mesa 'BoardGameBlitz' tendrá lugar en la biblioteca este fin de semana.""",0
"""36. ""La empresa de telecomunicaciones 'ConnectCom' ofrece descuentos en planes de teléfono móvil.""",0
"""37. ""La tienda de libros 'PageTurners' ha abierto una nueva sucursal en el barrio.""",0
"""38. ""El parque de diversiones abre sus puertas para la temporada de verano.""",0
"""39. ""La marca de ropa deportiva 'SportsWear' presenta su nueva colección de primavera.""",0
"""40. ""El servicio de transporte de mascotas 'PetPorter' ahora ofrece envíos internacionales.""",0
"""41. ""El evento de comida 'TasteFest' tendrá lugar en el parque este fin de semana.""",0
"""42. ""La empresa de servicios de limpieza 'Spotless' ofrece descuentos en servicios de limpieza residencial.""",0
"""43. ""El evento de arte 'PaintSplash' tendrá lugar en el centro comunitario este fin de semana.""",0
"""44. ""La empresa de servicios de internet 'NetSpeed' ha mejorado su velocidad de conexión.""",0
"""45. ""El evento de yoga 'OmShanti' tendrá lugar en el parque este fin de semana.""",0
"""46. ""La empresa de servicios de jardinería 'GreenThumbs' ofrece descuentos en servicios de mantenimiento de jardines.""",0
